Trial,Parameter,0,1,2,3,4,5,6,7,8,9,10,,,,,95%,358.2892783,99.5%,58.23595915
99,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4778.949802,5515.337226,5019.490391,5208.824836,4527.34427,5754.258418,7117.933782,7906.876044,7666.563982,7460.365561,,,,,,488.3595093,,190.2543398
100,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5693.872639,4671.596112,5762.434415,6282.268931,7944.954844,6147.83645,5435.639122,2622.850104,3266.725004,3842.987889,,,,,,488.7557934,,190.6746224
101,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4148.091746,3555.853539,3395.126827,3912.028031,3574.281946,4153.330943,4745.36507,4817.938546,5171.14099,5479.62554,,,,,,489.954064,,192.1046731
102,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5413.481712,5898.42623,6124.130777,5867.564194,6533.476965,6810.541235,5544.492883,5672.942039,4724.340878,4106.139269,,,,,,490.1611157,,195.2165562
103,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5540.734499,5268.769429,5926.201393,5016.978253,5293.244142,3945.275456,5183.883907,5895.811689,6776.311767,7286.686992,,,,,,491.402455,,195.3443463
104,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4431.248197,5707.552125,5212.583599,6218.020836,6108.818982,5859.665566,4078.940515,3279.355637,2639.438957,2446.550068,,,,,,494.6746878,,197.2701011
105,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5474.113862,4119.53823,7237.06422,4963.148397,3332.129182,2123.560103,2038.99865,1604.410435,2124.359349,1893.055471,,,,,,495.3124932,,199.8300259
106,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,3585.523327,5087.882538,4334.80866,5441.338494,6581.999346,7735.058151,8248.364394,8250.852644,5024.38527,5834.983627,,,,,,496.1007678,,200.2904173
107,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,6128.243607,4692.052752,3836.201212,4575.04392,4338.494852,4725.871646,4925.481964,2254.833092,2015.243462,1910.100366,,,,,,497.4487398,,200.9334728
108,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4638.506219,5540.057299,3602.261571,3501.297896,3880.114173,3789.048946,3846.202007,4857.941968,5349.876533,5886.649909,,,,,,498.1630203,,206.1331224
109,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5257.75167,5808.403615,3198.683684,3779.881216,4104.932624,3840.169469,4369.704786,5118.277201,4718.24966,5758.40276,,,,,,498.733184,,206.9604587
110,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5083.863109,4658.791888,4826.009854,4066.415343,3457.20796,4976.79946,4383.568454,3763.032668,5376.693879,4204.032555,,,,,,499.325842,,209.1760287
111,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5592.912301,6049.234855,7188.59385,7323.310099,6285.948572,5086.861608,3569.018336,4980.463553,5357.634766,6555.874692,,,,,,500.2347099,,209.9366544
112,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4701.424044,4822.248914,4072.64758,4530.730956,6960.259629,6360.157534,6665.672684,6510.497292,6999.204015,6508.531478,,,,,,501.070372,,210.6721296
113,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5681.762947,6423.615899,6336.550495,6902.939619,7217.053791,8034.917581,7302.805122,10315.94029,8912.447273,5063.61403,,,,,,503.9014459,,211.9067931
114,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,2478.035055,2009.926204,2760.88041,2093.822848,1848.828476,1645.947285,2310.624535,1392.52387,2251.320026,3325.010396,,,,,,504.8959,,217.6379565
115,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5851.049688,6077.970312,4849.65058,3190.87199,5162.125342,4954.252941,6034.711932,3925.819999,4458.965199,5273.628929,,,,,,507.0218469,,219.6479655
116,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,3743.353554,3713.052477,4308.308474,4984.937794,4337.840333,4875.087656,2866.268147,4697.177529,4233.058162,3626.830025,,,,,,509.2904127,,219.6916434
117,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4854.324957,5114.44536,2235.469219,2533.020785,2020.526177,3289.576318,4688.943856,5068.510599,5670.334023,4110.919874,,,,,,512.9128609,,220.2399166
118,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5964.407279,5147.914743,7062.429758,7425.929686,8124.031602,6119.197644,2215.49715,1825.375814,1100.821282,2171.583774,,,,,,514.7856035,,220.9533503
119,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4635.265207,2528.333519,2090.31412,1829.929894,1565.423488,1307.751797,1227.093413,1634.867984,999.6524465,347.2549159,,,,,,516.1358901,,222.1202869
120,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5642.103166,6175.719268,6800.657023,7026.701856,7470.774083,7907.838121,8136.922105,8147.509184,7844.082568,9593.231948,,,,,,516.2315706,,223.0756954
121,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,3197.072509,1671.201231,2322.594662,2910.153389,1752.715941,821.3877712,932.8630578,880.1315335,1082.209416,1056.433563,,,,,,516.5834498,,227.665164
