Trial,Timestep,"ESG.Economies.GBP.RealSpotRate(Govt, 10, 1)"
49,5,-0.00444609619212555,
49,6,-0.00700102338998165,
49,7,-0.00890561531331535,
49,8,-0.0231144537080686,
49,9,-0.0214831255513549,
49,10,-0.0350075822003492,
50,0,-0.0197968096029223,
50,1,-0.020270115042579,
50,2,-0.0240206101627868,
50,3,-0.0143046784121268,
50,4,-0.0160724993814722,
50,5,-0.0194841864022606,
50,6,-0.0159239232049799,
50,7,-0.0132932268424595,
50,8,0.00158852210213456,
50,9,0.000288941976902324,
50,10,0.0145672085128232,
51,0,-0.0197968096029223,
51,1,-0.029696144347793,
51,2,-0.0333953016821381,
51,3,-0.0301316719213187,
51,4,-0.0184010595038819,
51,5,-0.0130666130421793,
51,6,-0.0147163422792438,
51,7,-0.0170744607625514,
51,8,-0.0160228274488785,
51,9,-0.0149043934000379,
51,10,-0.00845883913861989,
52,0,-0.0197968096029223,
52,1,-0.00434035343657335,
52,2,0.00344398445317262,
52,3,0.00293253084496947,
52,4,-0.00701154474104249,
52,5,-0.0109197248037751,
52,6,-0.00821806034582007,
52,7,-0.00509295651487041,
52,8,-0.00563003099277881,
52,9,-0.00639125533501472,
52,10,-0.0125980622806386,
53,0,-0.0197968096029223,
53,1,-0.00879854721154838,
53,2,-0.0171927669233807,
53,3,-0.0278385764824655,
53,4,-0.0276631604354707,
53,5,-0.0408031226923946,
53,6,-0.0568488350684609,
53,7,-0.0453310043657501,
53,8,-0.0441319754194776,
53,9,-0.0278986120130881,
53,10,-0.0211889453524161,
54,0,-0.0197968096029223,
54,1,-0.0253319431080413,
54,2,-0.0130987672578347,
54,3,0.000566853750278096,
54,4,0.00244727541497447,
54,5,0.0176809047925408,
54,6,0.0360868686779263,
54,7,0.0243545633940483,
54,8,0.0236113411188263,
54,9,0.00689045519803222,
54,10,0.00024377423437838,
55,0,-0.0197968096029223,
55,1,-0.0199167485122607,
55,2,-0.0277153518063388,
55,3,-0.0198755896578143,
55,4,-0.0231684170595635,
55,5,-0.0143157066896655,
55,6,-0.0123107225565977,
55,7,-0.0124387590752316,
55,8,-0.016792801750535,
55,9,-0.0156526170513054,
55,10,-0.00990624185855216,
56,0,-0.0197968096029223,
56,1,-0.0142751725312059,
56,2,-0.00241799387329278,
56,3,-0.00756221699780635,
56,4,-0.00216533471102554,
56,5,-0.0096663276491421,
56,6,-0.010633648171955,
56,7,-0.00976314006307399,
56,8,-0.00485131484440471,
56,9,-0.00563599192319197,
56,10,-0.0111545946912619,
57,0,-0.0197968096029223,
57,1,-0.0168752702048461,
57,2,-0.0218157547258275,
57,3,-0.00638117335132093,
57,4,-0.00133964116403473,
57,5,0.00622569470100065,
57,6,0.00411436052352143,
57,7,-0.000626458390468376,
57,8,0.0137151858055098,
57,9,0.0172943608478402,
57,10,0.02186350592144,
58,0,-0.0197968096029223,
58,1,-0.0173246947219974,
58,2,-0.00843458217897142,
58,3,-0.0210405934566092,
58,4,-0.0239760625492381,
58,5,-0.0298833043985742,
58,6,-0.0268174865516566,
58,7,-0.0214674478636111,
58,8,-0.0348005393684675,
58,9,-0.0378403275203227,
58,10,-0.0418978093554696,
59,0,-0.0197968096029223,
59,1,-0.0180642751412836,
59,2,0.00307260419711319,
59,3,-0.0132118507555844,
59,4,-0.0239846939549975,
59,5,-0.0207495117592614,
59,6,-0.0115827677735644,
59,7,-0.0123054377426559,
59,8,-0.0133778087614561,
59,9,-0.0076740908985562,
59,10,-0.00396201876450042,
60,0,-0.0197968096029223,
60,1,-0.0161347942434719,
60,2,-0.03303742340008,
60,3,-0.0142641076393776,
60,4,-0.00133080949641695,
60,5,-0.00315970459582171,
60,6,-0.0113623019676432,
60,7,-0.00989680456096353,
60,8,-0.00829582056612499,
60,9,-0.0136309048555544,
60,10,-0.0170558934423318,
61,0,-0.0197968096029223,
61,1,-0.0210716085866423,
61,2,-0.0278557574965177,
61,3,-0.0286820942573065,
61,4,-0.0210198267989264,
61,5,-0.0195316795121565,
61,6,-0.0154272296827127,
61,7,-0.0105838218824467,
61,8,-0.0179839551729529,
61,9,-0.0180240888043821,
61,10,-0.00988958679201879,
62,0,-0.0197968096029223,
62,1,-0.0131122945744977,
62,2,-0.00227391423576939,
62,3,0.00143577207358403,
62,4,-0.00435530535829165,
62,5,-0.00439787234850619,
62,6,-0.00750196773271539,
62,7,-0.0116196158533307,
62,8,-0.0036442319577431,
62,9,-0.00323460291706135,
62,10,-0.0111712284785618,
63,0,-0.0197968096029223,
63,1,-0.00886575690648728,
63,2,-0.0075676577602265,
63,3,-0.0165884833343423,
63,4,-0.016021595415243,
63,5,-0.013113197099767,
63,6,-0.0274064921071799,
63,7,-0.0303183970997358,
63,8,-0.021494165145077,
63,9,-0.0311018692094637,
63,10,-0.0179748051339814,
64,0,-0.0197968096029223,
64,1,-0.0252658499998405,
64,2,-0.0226702329327206,
64,3,-0.01087949410599,
64,4,-0.00941279700299535,
64,5,-0.010873037207626,
64,6,0.004722455202264,
64,7,0.00849550954030009,
64,8,-6.99886285925322E-05,
64,9,0.0102193181549082,
64,10,-0.00302999487033828,
65,0,-0.0197968096029223,
65,1,-0.00800295491196334,
65,2,-0.00584230454610835,
65,3,-0.00315967626913605,
65,4,0.00163802832731519,
65,5,-0.0135110309914882,
65,6,-0.0137759584684847,
65,7,-0.0163710436191479,
65,8,-0.0208430436428132,
65,9,-0.0137088358903099,
65,10,-0.00781896030540563,
