Trial,Timestep,"ESG.Assets.EquityAssets.E_GBP.Sigma.StandardisedVolatility"
33,2,0.250235360229467,
33,3,0.279532680527807,
33,4,0.301542303360603,
33,5,0.392401587591513,
33,6,0.42248846907757,
33,7,0.468940755377978,
33,8,0.539559965152848,
33,9,0.461622708192026,
33,10,0.371342028998526,
34,0,0.109142808879906,
34,1,0.0930899368393994,
34,2,0.103167130567492,
34,3,0.114276031752737,
34,4,0.0969882366766156,
34,5,0.0672965988491891,
34,6,0.0698730352871154,
34,7,0.0719044134573015,
34,8,0.119749600164165,
34,9,0.171834018539734,
34,10,0.136349863139059,
35,0,0.109142808879906,
35,1,0.160864697733333,
35,2,0.150865681422073,
35,3,0.197324116486403,
35,4,0.281394050688239,
35,5,0.257648107556893,
35,6,0.19824187150657,
35,7,0.223869444442905,
35,8,0.12959109714918,
35,9,0.134170765936868,
35,10,0.112166356632864,
36,0,0.109142808879906,
36,1,0.0887079414843817,
36,2,0.106822001643101,
36,3,0.0991462688487221,
36,4,0.0853585397640244,
36,5,0.153203564393977,
36,6,0.193793517047964,
36,7,0.22526110080082,
36,8,0.211939440491765,
36,9,0.304862904849471,
36,10,0.369929045477058,
37,0,0.109142808879906,
37,1,0.0901083952188741,
37,2,0.161131927377133,
37,3,0.246946564577157,
37,4,0.23067590181133,
37,5,0.166141200580047,
37,6,0.16657697601729,
37,7,0.218047127013664,
37,8,0.162887206139433,
37,9,0.197495309503518,
37,10,0.262787640099395,
38,0,0.109142808879906,
38,1,0.196757740838555,
38,2,0.149341267495723,
38,3,0.0985716649205264,
38,4,0.154236955646153,
38,5,0.234705800085882,
38,6,0.224686705045099,
38,7,0.228382045334744,
38,8,0.228581204368672,
38,9,0.260756893774628,
38,10,0.172650427591451,
39,0,0.109142808879906,
39,1,0.14985802334827,
39,2,0.173737794203157,
39,3,0.18182039105562,
39,4,0.182559302014012,
39,5,0.239267746985724,
39,6,0.245201580531761,
39,7,0.199184628392023,
39,8,0.233279768689735,
39,9,0.292709769695271,
39,10,0.277625018449132,
40,0,0.109142808879906,
40,1,0.117520770798376,
40,2,0.146075790352733,
40,3,0.18022376954521,
40,4,0.145926588010753,
40,5,0.0878525670895799,
40,6,0.15537684858597,
